u,g,r,i,z,redshift,class
25.26307,22.66389,20.60976,19.34857,18.94827,0.6441945,0
22.13682,23.77656,21.61162,20.50454,19.2501,0.9323456,0
19.43718,17.58028,16.49747,15.97711,15.54461,0.1161227,0
23.48827,23.33776,21.32195,20.25615,19.54544,1.424659,1
21.46973,21.17624,20.92829,20.60826,20.42573,0.5864546,1
24.40286,22.35669,20.61032,19.4649,18.95852,0.660012,0
21.74669,20.03493,19.17553,18.81823,18.65422,-7.895373e-06,2
25.77163,22.52042,20.63884,19.78071,19.05765,0.4595958,0
23.76761,23.79969,20.98318,19.80745,19.45579,0.5914091,0
23.17274,20.14496,19.41948,19.22034,18.89359,7.182029e-05,2
24.5489,21.44267,20.95315,20.7936,20.48442,-0.000428576,2
20.38562,20.40514,20.29996,20.05918,19.89044,2.031528,1
21.82154,20.5573,19.94918,19.76057,19.55514,-0.0004402762,2
24.54793,22.33601,20.92259,19.87177,19.16934,-0.0001203588,2
25.44243,20.77028,19.6617,19.08481,18.83176,0.6623096,0
21.73992,21.53095,21.26763,21.36257,21.15861,2.07568,1
20.15491,18.37295,17.31276,16.82294,16.44342,0.1482283,0
23.73066,22.82349,21.32414,19.81448,19.28439,0.7491816,0
21.89214,21.35124,21.18755,20.843,20.7658,1.528308,1
22.88916,21.63309,20.06106,19.13263,18.9481,0.5091722,0
23.8628,22.7784,20.98458,19.70143,19.24533,0.5981273,0
20.71552,18.85877,17.72017,17.24668,16.87722,0.1769632,0
20.66654,22.21825,24.8026,21.43702,22.82647,0.0003084856,2
21.20149,19.77107,19.27176,19.04226,18.9441,4.827565e-05,2
25.52618,22.45513,21.82048,20.83807,20.28395,0.8072085,0
22.33744,20.02736,19.2826,19.04074,18.90521,-9.960094e-05,2
22.36261,21.7106,21.5963,21.60179,21.12727,2.689002,1
21.90143,21.79169,21.44344,21.25545,21.07686,1.289637,1
24.91692,21.27143,19.59078,18.90489,18.49419,0.3208058,0
23.01294,20.46514,18.83662,18.16925,17.73204,0.3466544,0
21.65936,21.73216,21.61713,21.60229,21.24192,1.007728,1
22.7706,22.25927,20.1723,19.13553,18.60195,0.5075994,0
22.72659,22.31748,20.5118,19.45051,18.86085,0.5326954,0
19.1855,18.02785,17.46046,17.14015,16.97431,0.08925132,0
20.64171,18.761,17.38466,16.83926,16.41518,0.1709112,0
22.08841,19.65585,18.15532,17.59347,17.20853,0.2538029,0
25.9803,21.89943,20.07695,19.12181,18.63752,0.4925865,0
21.77434,21.65529,21.77547,21.72382,21.66425,1.93908,1
20.87676,20.61914,20.55744,20.54716,20.15146,1.040196,1
20.53318,20.37871,20.16658,20.12587,20.13796,0.910454,1
22.864,20.99637,20.77479,20.60149,20.42078,-0.0005969275,2
23.96082,20.7098,19.48951,18.539,17.99627,0.512866,0
23.78648,22.61023,19.79689,18.18796,17.0124,0.0001033789,2
22.70525,22.38366,22.10573,22.19179,21.8687,1.3983,1
25.10932,23.02978,21.6433,20.57167,19.76941,0.0004171139,2
23.33354,22.08951,21.85797,22.16238,22.55171,2.188856,1
20.16308,19.48441,19.33299,19.2896,19.08112,2.369899,1
20.49408,20.2065,20.22691,20.19625,19.82982,2.156938,1
22.25522,20.6308,19.96252,19.69811,19.4611,-0.0006081365,2
20.64593,19.19186,18.71879,18.54982,18.57035,0.02476665,0
24.80904,24.19171,22.57484,19.67837,17.97654,0.0002365066,2
23.59629,22.13309,20.78996,19.82567,19.41473,0.4689722,0
23.93912,22.92743,21.78178,20.69582,19.83773,0.6862542,0
21.8015,18.61152,17.18664,16.54847,16.14959,3.690221e-05,2
25.08139,22.03635,21.83119,21.71758,21.24758,0.0002660389,2
21.23949,20.39086,20.35097,20.25421,19.90627,2.290692,1
22.33767,21.74014,20.67626,19.84993,19.52213,0.6578612,0
22.83775,22.53633,21.14728,20.04436,19.34116,0.625698,0
20.22819,20.18983,19.53547,19.50299,19.35294,1.319689,1
21.27749,20.74533,20.38233,20.25976,19.89784,0.847156,1
24.67206,22.2909,20.96209,19.79067,19.14412,0.5262727,0
23.19134,22.69088,21.71342,21.21746,21.42393,0.6868312,0
23.68024,22.93109,22.38346,21.54711,21.80262,0.912237,0
20.71064,20.22823,19.8522,19.59367,19.34152,2.875383,1
24.64835,22.00048,21.63793,21.72727,22.06267,3.892739,1
21.26236,20.68755,20.53071,20.42182,20.13542,2.3171,1
22.25055,20.72246,20.20829,19.9893,19.95151,-0.0001066996,2
22.65379,22.52258,21.95554,21.85023,21.03508,1.166883,1
21.8857,20.22803,19.60719,19.38448,19.24491,-0.0001980184,2
22.79176,22.59233,21.50218,20.39903,19.68608,0.7572532,0
18.18608,18.04931,17.75193,17.73256,17.78253,1.088803,1
19.2641,17.77944,17.10706,16.82521,16.66497,-0.0001976791,2
21.71327,19.96071,18.68786,18.17053,17.76778,0.1645852,0
19.28256,17.57086,16.79196,16.39657,16.09448,0.03836939,0
18.6783,18.56849,18.28917,18.21018,17.68076,0.3109573,1
27.10127,21.44564,19.76561,18.72035,18.13984,0.5233803,0
23.2733,22.18751,20.6321,19.74818,19.26084,0.4870008,0
22.87967,21.90276,22.01376,21.87333,21.08294,2.370471,1
21.94906,19.48184,18.09411,16.86405,16.20561,0.0001164814,2
23.64582,22.5292,21.11902,19.68053,19.12656,0.6780099,0
24.98477,21.998,20.30022,18.3646,17.31518,7.991327e-05,2
20.54891,18.77037,17.51467,17.01419,16.62887,0.1833921,0
17.84751,16.52499,15.95014,15.68786,15.5457,-0.0003682757,2
25.72364,23.03721,21.04014,19.72521,18.91054,0.6592138,0
20.63578,20.41439,20.31782,20.00517,19.82034,1.69534,1
24.45142,21.51859,20.46167,19.93067,19.51852,-0.0001862192,2
21.5802,20.57191,20.3905,20.20049,20.35182,2.89748,1
22.45479,21.62992,21.44386,21.35073,20.83829,0.0004614203,2
19.15626,17.8138,16.79765,16.2748,15.88608,0.1403166,1
22.79371,22.47182,21.2807,20.13826,19.31719,0.680968,0
19.75681,18.48689,17.47693,16.9563,16.61813,0.1463097,0
22.92909,22.60838,20.95995,19.55458,18.62085,-0.0001373336,2
21.7794,20.64518,18.97875,18.36097,17.95331,0.3134138,0
22.59323,22.02358,21.86487,21.92594,22.55944,0.53741,1
18.98802,17.92512,17.56229,17.41123,17.41349,-2.126671e-05,2
20.67499,19.86842,19.77686,19.74236,19.43085,2.308915,1
20.16698,20.08098,20.14427,19.85855,19.66567,2.050636,1
21.83943,21.77629,20.60705,19.80544,19.55602,0.5490854,0
20.56053,18.51112,17.4491,16.99342,16.61498,0.1133807,0
22.57449,22.28132,20.28931,19.36939,18.81012,0.4816059,0
20.18216,18.35232,17.27345,16.83153,16.47283,0.1373082,0
25.32373,22.30239,20.49459,19.5481,18.78767,0.5038501,0
22.24721,19.30773,17.92509,17.39431,17.07972,0.2128639,0
23.20142,21.65676,20.38945,19.48816,18.9276,-0.0001722275,2
25.2542,22.60953,21.0792,19.95091,19.54768,0.5991167,0
21.62115,21.34279,20.16104,18.65479,17.66638,-7.888919e-05,2
23.53811,23.37748,21.15316,19.82874,19.44676,0.6264167,0
20.23238,19.24946,19.04356,18.94587,18.91817,-0.0002758985,2
20.32845,19.4245,19.06592,18.87761,18.87157,0.0001648475,2
18.45179,16.53581,15.60624,15.17542,14.84507,0.07519736,0
20.40665,18.22079,17.13235,16.68729,16.34318,0.141691,0
20.85931,19.81905,19.72314,19.69964,19.64133,0.0007564067,2
16.58941,15.12915,14.56525,14.38807,14.31969,0.0001042941,2
21.64464,18.87211,17.81801,17.34803,16.99254,0.1109725,0
19.3772,17.42771,16.41689,16.00279,15.66193,0.1137839,0
20.51585,20.24112,20.2057,19.90496,19.80293,1.621598,1
21.52916,21.66393,21.72251,21.77715,21.13445,2.081617,1
22.12341,21.55746,20.58542,19.85185,19.40779,0.6489189,0
22.28893,21.60472,21.37432,21.39408,20.87335,2.701146,1
26.19394,23.96235,21.2559,19.88415,19.21673,0.6742269,0
24.28438,21.98381,20.70392,19.78396,19.39429,0.4861198,0
20.41988,18.59942,17.66353,17.25764,16.90723,0.1115472,0
19.26509,18.22012,17.82656,17.64138,17.58769,-0.0004241176,2
22.92736,24.14672,21.71825,20.6274,19.96332,0.6480679,0
23.76551,22.51311,20.61219,19.72001,19.1272,0.5773105,0
25.42519,22.29782,20.52947,19.53461,19.04271,0.5249239,0
22.59955,21.02378,19.52688,18.65291,18.18871,0.4159483,0
22.99822,22.15485,22.08356,22.02047,22.12553,1.865205,1
24.88311,21.48462,19.59986,19.5388,19.68916,4.11414,1
21.45356,20.76791,20.82399,20.85721,20.36657,2.549236,1
20.77593,19.10901,18.82173,18.6787,18.72135,-0.0003249481,2
20.03447,19.94801,19.77898,19.72773,19.7445,1.15845,1
20.71819,18.03484,16.90619,16.56785,16.35909,2.983179e-05,2
24.74097,21.81865,21.38399,21.43681,21.35231,0.2184408,0
23.65257,23.76629,22.90933,22.02259,21.35769,0.7244605,0
18.78726,17.12819,16.40216,16.11632,15.97406,-1.305648e-05,2
25.22674,22.17591,20.46942,19.55645,19.15983,0.4731573,0
21.30888,20.47238,20.39975,20.41795,20.13681,0.694058,1
19.23088,17.96239,17.82065,17.78402,17.82338,-0.0001108782,2
19.05087,16.49607,14.96787,13.62782,12.39726,8.571768e-05,2
21.84786,20.95987,20.85843,20.83487,20.43761,3.85709e-05,2
22.32961,21.89431,21.73312,21.01897,20.31232,1.711668,1
21.51034,21.02409,21.08671,21.08473,21.71761,-0.0002444325,2
24.69369,23.80136,21.80155,20.66028,19.84621,0.9987301,1
21.97341,21.25766,21.89866,21.5234,23.10174,0.7528014,0
20.3372,18.24108,17.39116,16.91535,16.60453,0.0838319,0
19.55769,19.469,19.24376,19.25563,19.37844,1.320359,1
25.24017,22.72488,21.18456,19.22162,18.08441,0.0001530178,2
19.9559,19.75046,20.15038,20.38478,20.89714,-0.0003287509,2
20.14127,18.32061,17.4176,16.9338,16.60905,0.127938,0
22.75185,21.70168,21.49237,21.54097,21.07332,2.723905,1
20.87844,19.43145,17.96036,17.33367,16.90774,0.2091066,0
21.65404,21.56676,20.70138,19.81271,19.68168,4.858816,1
18.04481,17.11568,16.75286,16.61002,16.56301,-0.0004970237,2
19.54506,18.97217,18.72278,18.64299,18.69172,0.0003305929,2
19.58494,19.71145,19.2975,19.19037,19.2885,1.340945,1
24.18559,24.28872,21.95005,20.68925,19.65184,-6.162505e-05,2
22.85925,20.02035,18.46368,17.88627,17.44498,0.292747,0
19.82232,18.00122,17.18566,16.8113,16.56224,0.04069763,0
25.15959,22.10259,20.4458,18.72549,17.82163,-8.180478e-05,2
21.91896,21.30166,21.41958,21.15269,20.8961,2.302848,1
21.08625,21.16819,20.86348,20.70051,20.53805,1.428186,1
19.9007,19.10365,18.86762,18.66237,18.71533,0.1082131,0
26.11718,21.95147,21.06702,21.00998,20.83483,-0.0002562863,2
24.38471,21.05876,19.31031,18.6544,18.17172,0.3709848,0
23.29982,21.54473,20.67021,19.86138,19.39727,0.3873063,0
19.55399,18.20431,17.75615,17.60063,17.58103,-0.0001649231,2
23.94282,22.26192,20.45863,19.34155,18.85504,0.5671554,0
22.26926,22.35695,21.92761,21.65333,21.39758,2.685201,1
22.23041,21.84103,21.02,20.74303,20.44586,1.129313,1
23.19861,21.06898,20.75031,20.74632,20.55572,2.772941,1
22.74142,20.29404,18.51784,17.88012,17.61165,0.2651756,0
19.98815,17.85162,16.7891,16.35512,15.95364,0.1308573,0
21.56795,21.52187,21.13519,21.17609,20.66972,1.407133,1
25.1093,21.13836,19.8287,19.06776,18.66838,0.2665354,0
25.73747,21.33814,19.42252,18.48529,17.99668,0.482653,0
21.68158,21.17632,21.10896,20.98014,20.60027,2.401113,1
24.4593,22.48532,20.98118,19.78359,19.39403,5.922225,1
19.88843,19.75998,19.65091,19.63572,19.80677,1.435107,1
19.22127,18.89125,18.77551,18.64375,18.57708,1.653339,1
22.7732,22.71394,21.85914,21.3394,21.06839,0.7743795,0
18.95101,17.49336,16.98946,16.83429,16.77429,0.0001636558,2
19.79291,18.46646,17.95433,17.77887,17.73801,-1.526846e-05,2
20.30552,19.86924,19.59601,19.32831,19.0562,2.099468,1
21.24145,19.81859,19.46297,19.2667,19.25962,-0.000331681,2
21.79432,21.43184,20.4117,19.39751,19.60238,0.6202226,1
21.89082,21.45706,21.27173,21.18303,20.61029,1.96025,1
19.03688,17.77208,17.22694,17.00828,16.90066,-0.0005510582,2
20.39584,19.71195,19.50802,19.51389,19.26613,2.314363,1
18.56529,17.64078,17.24995,17.10404,17.04696,-0.0009713375,2
24.59292,21.43092,20.07493,18.97442,18.34488,0.0002107706,2
23.9188,20.87381,19.35272,18.81091,18.33777,-0.0004099222,2
